time_s,time_ps,source_V,analytic_rx_V,tool_rx_V,tool_minus_analytic_V
1.2600000000000000e-10,1.2600000000000000e+02,0.0000000000000000e+00,0.0000000000000000e+00,-3.7621815385247004e-17,-3.7621815385247004e-17
1.2700000000000000e-10,1.2700000000000000e+02,0.0000000000000000e+00,0.0000000000000000e+00,-2.2768245622195593e-17,-2.2768245622195593e-17
1.2800000000000000e-10,1.2800000000000000e+02,0.0000000000000000e+00,0.0000000000000000e+00,1.6235172733081293e-17,1.6235172733081293e-17
1.2899999999999999e-10,1.2900000000000000e+02,0.0000000000000000e+00,0.0000000000000000e+00,1.3869232275858998e-17,1.3869232275858998e-17
1.2999999999999999e-10,1.3000000000000000e+02,0.0000000000000000e+00,0.0000000000000000e+00,3.0010964882921620e-17,3.0010964882921620e-17
1.3099999999999999e-10,1.3100000000000000e+02,0.0000000000000000e+00,0.0000000000000000e+00,3.0562920751259618e-17,3.0562920751259618e-17
1.3200000000000001e-10,1.3200000000000000e+02,0.0000000000000000e+00,0.0000000000000000e+00,1.6787853479905214e-17,1.6787853479905214e-17
1.3300000000000001e-10,1.3300000000000000e+02,0.0000000000000000e+00,0.0000000000000000e+00,2.0283452444776527e-17,2.0283452444776527e-17
1.3400000000000000e-10,1.3400000000000000e+02,0.0000000000000000e+00,0.0000000000000000e+00,9.4748627137559009e-18,9.4748627137559009e-18
1.3500000000000000e-10,1.3500000000000000e+02,0.0000000000000000e+00,0.0000000000000000e+00,2.8715622357472407e-18,2.8715622357472407e-18
1.3600000000000000e-10,1.3600000000000000e+02,0.0000000000000000e+00,0.0000000000000000e+00,1.5890052449759653e-17,1.5890052449759653e-17
1.3699999999999999e-10,1.3700000000000000e+02,0.0000000000000000e+00,0.0000000000000000e+00,-4.6150343002652704e-18,-4.6150343002652704e-18
1.3799999999999999e-10,1.3800000000000000e+02,0.0000000000000000e+00,0.0000000000000000e+00,4.6427810752163839e-17,4.6427810752163839e-17
1.3899999999999999e-10,1.3900000000000000e+02,0.0000000000000000e+00,0.0000000000000000e+00,6.5846964987404875e-18,6.5846964987404875e-18
1.4000000000000001e-10,1.4000000000000000e+02,0.0000000000000000e+00,0.0000000000000000e+00,2.2029625204792676e-17,2.2029625204792676e-17
1.4100000000000000e-10,1.4100000000000000e+02,0.0000000000000000e+00,0.0000000000000000e+00,1.6001963748265214e-17,1.6001963748265214e-17
1.4200000000000000e-10,1.4200000000000000e+02,0.0000000000000000e+00,0.0000000000000000e+00,5.3852586671260726e-19,5.3852586671260726e-19
1.4300000000000000e-10,1.4300000000000000e+02,0.0000000000000000e+00,0.0000000000000000e+00,-1.2939254932702636e-17,-1.2939254932702636e-17
1.4399999999999999e-10,1.4400000000000000e+02,0.0000000000000000e+00,0.0000000000000000e+00,-2.1187285667540419e-17,-2.1187285667540419e-17
1.4499999999999999e-10,1.4500000000000000e+02,0.0000000000000000e+00,0.0000000000000000e+00,-3.2478402140938913e-17,-3.2478402140938913e-17
1.4599999999999999e-10,1.4600000000000000e+02,0.0000000000000000e+00,0.0000000000000000e+00,-1.1165192666432245e-17,-1.1165192666432245e-17
1.4700000000000001e-10,1.4700000000000000e+02,0.0000000000000000e+00,0.0000000000000000e+00,-1.4127501792419191e-17,-1.4127501792419191e-17
1.4800000000000001e-10,1.4800000000000000e+02,0.0000000000000000e+00,0.0000000000000000e+00,1.2284422484002774e-17,1.2284422484002774e-17
1.4900000000000000e-10,1.4900000000000000e+02,0.0000000000000000e+00,0.0000000000000000e+00,-3.6780362552904722e-18,-3.6780362552904722e-18
1.5000000000000000e-10,1.5000000000000000e+02,0.0000000000000000e+00,0.0000000000000000e+00,2.5451498600038957e-17,2.5451498600038957e-17
1.5100000000000000e-10,1.5100000000000000e+02,0.0000000000000000e+00,0.0000000000000000e+00,6.1286668061228597e-19,6.1286668061228597e-19
1.5199999999999999e-10,1.5200000000000000e+02,0.0000000000000000e+00,0.0000000000000000e+00,2.0806081701486579e-17,2.0806081701486579e-17
1.5299999999999999e-10,1.5300000000000000e+02,0.0000000000000000e+00,0.0000000000000000e+00,-2.5679914392543948e-17,-2.5679914392543948e-17
1.5399999999999999e-10,1.5400000000000000e+02,0.0000000000000000e+00,0.0000000000000000e+00,-3.0163510137366410e-18,-3.0163510137366410e-18
1.5500000000000001e-10,1.5500000000000000e+02,0.0000000000000000e+00,0.0000000000000000e+00,-2.8029644336499008e-17,-2.8029644336499008e-17
1.5600000000000000e-10,1.5600000000000000e+02,0.0000000000000000e+00,0.0000000000000000e+00,-2.9682874903414591e-17,-2.9682874903414591e-17
1.5700000000000000e-10,1.5700000000000000e+02,0.0000000000000000e+00,0.0000000000000000e+00,-4.8999133464956899e-17,-4.8999133464956899e-17
1.5800000000000000e-10,1.5800000000000000e+02,0.0000000000000000e+00,0.0000000000000000e+00,-7.6688743126366430e-17,-7.6688743126366430e-17
1.5899999999999999e-10,1.5900000000000000e+02,0.0000000000000000e+00,0.0000000000000000e+00,-2.1019690503037815e-17,-2.1019690503037815e-17
1.5999999999999999e-10,1.6000000000000000e+02,0.0000000000000000e+00,0.0000000000000000e+00,-3.4470267402737534e-17,-3.4470267402737534e-17
1.6099999999999999e-10,1.6100000000000000e+02,0.0000000000000000e+00,0.0000000000000000e+00,-4.6639320400815361e-17,-4.6639320400815361e-17
1.6200000000000001e-10,1.6200000000000000e+02,0.0000000000000000e+00,0.0000000000000000e+00,-1.4792084593976401e-17,-1.4792084593976401e-17
1.6300000000000001e-10,1.6300000000000000e+02,0.0000000000000000e+00,0.0000000000000000e+00,-1.6083095530463946e-17,-1.6083095530463946e-17
1.6400000000000000e-10,1.6400000000000000e+02,0.0000000000000000e+00,0.0000000000000000e+00,2.3911963031013467e-18,2.3911963031013467e-18
1.6500000000000000e-10,1.6500000000000000e+02,0.0000000000000000e+00,0.0000000000000000e+00,1.2205213241892433e-18,1.2205213241892433e-18
1.6600000000000000e-10,1.6600000000000000e+02,0.0000000000000000e+00,0.0000000000000000e+00,9.8424477864867354e-18,9.8424477864867354e-18
1.6699999999999999e-10,1.6700000000000000e+02,0.0000000000000000e+00,0.0000000000000000e+00,-9.1190392503303142e-18,-9.1190392503303142e-18
1.6799999999999999e-10,1.6800000000000000e+02,0.0000000000000000e+00,0.0000000000000000e+00,-3.9789790848156017e-18,-3.9789790848156017e-18
1.6899999999999999e-10,1.6900000000000000e+02,0.0000000000000000e+00,0.0000000000000000e+00,-9.1431723491821805e-18,-9.1431723491821805e-18
1.7000000000000001e-10,1.7000000000000000e+02,0.0000000000000000e+00,0.0000000000000000e+00,-1.3006726912342990e-17,-1.3006726912342990e-17
1.7100000000000000e-10,1.7100000000000000e+02,0.0000000000000000e+00,0.0000000000000000e+00,-3.0104257989106083e-17,-3.0104257989106083e-17
1.7200000000000000e-10,1.7200000000000000e+02,0.0000000000000000e+00,0.0000000000000000e+00,-2.3613077957690961e-18,-2.3613077957690961e-18
1.7300000000000000e-10,1.7300000000000000e+02,0.0000000000000000e+00,0.0000000000000000e+00,-8.1031632049941511e-18,-8.1031632049941511e-18
1.7399999999999999e-10,1.7400000000000000e+02,0.0000000000000000e+00,0.0000000000000000e+00,9.0721168877166517e-18,9.0721168877166517e-18
1.7499999999999999e-10,1.7500000000000000e+02,0.0000000000000000e+00,0.0000000000000000e+00,1.1573531878239496e-17,1.1573531878239496e-17
1.7599999999999999e-10,1.7600000000000000e+02,0.0000000000000000e+00,0.0000000000000000e+00,1.3121938703729949e-17,1.3121938703729949e-17
1.7700000000000001e-10,1.7700000000000000e+02,0.0000000000000000e+00,0.0000000000000000e+00,2.9036050089660971e-17,2.9036050089660971e-17
1.7800000000000001e-10,1.7800000000000000e+02,0.0000000000000000e+00,0.0000000000000000e+00,6.0359378178504685e-17,6.0359378178504685e-17
1.7900000000000000e-10,1.7900000000000000e+02,0.0000000000000000e+00,0.0000000000000000e+00,9.4714865393337007e-18,9.4714865393337007e-18
1.8000000000000000e-10,1.8000000000000000e+02,0.0000000000000000e+00,0.0000000000000000e+00,2.5328321618438506e-17,2.5328321618438506e-17
1.8100000000000000e-10,1.8100000000000000e+02,0.0000000000000000e+00,0.0000000000000000e+00,1.7413166440454838e-17,1.7413166440454838e-17
1.8199999999999999e-10,1.8200000000000000e+02,0.0000000000000000e+00,0.0000000000000000e+00,2.8920925510700628e-17,2.8920925510700628e-17
1.8299999999999999e-10,1.8300000000000000e+02,0.0000000000000000e+00,0.0000000000000000e+00,1.8992533044826918e-17,1.8992533044826918e-17
1.8399999999999998e-10,1.8400000000000000e+02,0.0000000000000000e+00,0.0000000000000000e+00,2.9887659469579067e-17,2.9887659469579067e-17
1.8500000000000001e-10,1.8500000000000000e+02,0.0000000000000000e+00,0.0000000000000000e+00,3.2240682864532706e-17,3.2240682864532706e-17
1.8600000000000000e-10,1.8600000000000000e+02,0.0000000000000000e+00,0.0000000000000000e+00,3.3254656813595515e-17,3.3254656813595515e-17
